breathless,Jean-Luc Godard
the-seventh-seal,Ingmar Bergman
lolita,Stanley Kubrick
lolita-1997,Adrian Lyne
goodfellas,Martin Scorsese
oldboy,Park Chan-wook
8,Federico Fellini
the-rules-of-the-game,Jean Renoir
the-life-aquatic-with-steve-zissou,Wes Anderson
the-tree-of-life-2011,Terrence Malick
blade-runner,Ridley Scott
days-of-heaven,Terrence Malick
before-midnight,Richard Linklater
spring-breakers,Harmony Korine
the-corporation,"Mark Achbar, Jennifer Abbott"
the-greatest-movie-ever-sold,Morgan Spurlock
super-size-me,Morgan Spurlock
inside-job-2010,Charles Ferguson
boogie-nights,Paul Thomas Anderson
the-royal-tenenbaums,Wes Anderson
tiny-furniture,Lena Dunham
rushmore,Wes Anderson
ranczo-wilkowyje,Wojciech Adamczyk
the-fall,Tarsem Singh
12-angry-men,Sidney Lumet
1408,Mikael Håfström
2001-a-space-odyssey,Stanley Kubrick
barry-lyndon,Stanley Kubrick
ice-age,"Chris Wedge, Carlos Saldanha"
gulczas-what-do-you-think,Jerzy Gruza
moonrise-kingdom,Wes Anderson
the-master-2012,Paul Thomas Anderson
chungking-express,Wong Kar-wai
the-squid-and-the-whale,Noah Baumbach
once-upon-a-time-in-america,Sergio Leone
anna-karenina-2012,Joe Wright
the-pirate-bay-away-from-keyboard,Simon Klose
chinatown,Roman Polanski
rosemarys-baby,Roman Polanski
the-kingdom,Lars von Trier
the-kingdom-ii,Lars von Trier
lost-highway,David Lynch
the-trial,Orson Welles
blue-valentine,Derek Cianfrance
the-dictator-2012,Larry Charles
dancer-in-the-dark,Lars von Trier
drive-2011,Nicolas Winding Refn
punch-drunk-love,Paul Thomas Anderson
melancholia,Lars von Trier
capote,Bennett Miller
hidden-2005,Michael Haneke
dogville,Lars von Trier
eyes-wide-shut,Stanley Kubrick
25th-hour,Spike Lee
reservoir-dogs,Quentin Tarantino
magnolia,Paul Thomas Anderson
amores-perros,Alejandro González Iñárritu
adaptation,Spike Jonze
capitalism-a-love-story,Michael Moore
pride-prejudice,Joe Wright
paranormal-activity,Oren Peli
the-girl-with-the-dragon-tattoo-2011,David Fincher
trainspotting,Danny Boyle
manhattan,Woody Allen
before-sunrise,Richard Linklater
immortals,Tarsem Singh
scott-pilgrim-vs-the-world,Edgar Wright
in-the-mood-for-love,Wong Kar-wai
taxi-driver,Martin Scorsese
the-referees,"Yves Hinant, Eric Cardot"
500-days-of-summer,Marc Webb
before-sunset,Richard Linklater
casablanca,Michael Curtiz
around-the-world-in-80-days-2004,Frank Coraci
the-class-2008,Laurent Cantet
the-gold-rush,Charlie Chaplin
the-kid,Charlie Chaplin
high-fidelity,Stephen Frears
crown-witness,"Jacek Filipiak, Jarosław Sypniewski"
no-country-for-old-men,"Joel Coen, Ethan Coen"
star-wars,George Lucas
annie-hall,Woody Allen
citizen-kane,Orson Welles
persona,Ingmar Bergman
amelie,Jean-Pierre Jeunet
monsters-inc,"Lee Unkrich, David Silverman"
rabbit-a-la-berlin,Bartosz Konopka
dogtooth,Yorgos Lanthimos
spirited-away,Hayao Miyazaki
there-will-be-blood,Paul Thomas Anderson
schindlers-list,Steven Spielberg
pulp-fiction,Quentin Tarantino
the-godfather,Francis Ford Coppola
the-godfather-part-ii,Francis Ford Coppola
a-clockwork-orange,Stanley Kubrick
the-good-the-bad-and-the-ugly,Sergio Leone
the-white-ribbon,Michael Haneke
the-shawshank-redemption,Frank Darabont
one-flew-over-the-cuckoos-nest,Miloš Forman
monty-python-and-the-holy-grail,"Terry Gilliam, Terry Jones"
life-of-brian,Terry Jones
memento,Christopher Nolan
fargo,Joel Coen
the-elephant-man,David Lynch
the-big-lebowski,Joel Coen
princess-mononoke,Hayao Miyazaki
brothers-karamazov,Ivan Pyryev
the-social-network,David Fincher
slumdog-millionaire,"Danny Boyle, Loveleen Tandan"
sexmission,Juliusz Machulski
se7en,David Fincher
the-prestige,Christopher Nolan
teddy-bear-1981,Stanisław Bareja
little-miss-sunshine,"Jonathan Dayton, Valerie Faris"
kolya,Jan Svěrák
inglourious-basterds,Quentin Tarantino
the-hurt-locker,Kathryn Bigelow
forrest-gump,Robert Zemeckis
fight-club,David Fincher
day-of-the-wacko,Marek Koterski
the-assassination-of-jesse-james-by-the-coward-robert-ford,Andrew Dominik
american-psycho,Mary Harron
american-beauty,Sam Mendes
adams-apples,Anders Thomas Jensen
wilbur-wants-to-kill-himself,Lone Scherfig
empties,Jan Svěrák
shrek,"Andrew Adamson, Vicky Jenson"
nineteen-eighty-four-1984,Michael Radford
milk-2008,Gus Van Sant
the-matrix,"Lana Wachowski, Lilly Wachowski"
the-matrix-reloaded,"Lilly Wachowski, Lana Wachowski"
the-matrix-revolutions,"Lilly Wachowski, Lana Wachowski"
the-karamazov-brothers,Petr Zelenka
juno,Jason Reitman
the-ice-harvest,Harold Ramis
the-green-mile,Frank Darabont
frost-nixon,Ron Howard
die-hard,John McTiernan
die-hard-2,Renny Harlin
the-curious-case-of-benjamin-button,David Fincher
borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan,Larry Charles
a-beautiful-mind,Ron Howard
batman-begins,Christopher Nolan
american-history-x,Tony Kaye
across-the-universe,Julie Taymor
all-that-i-love,Jacek Borcuch
all-will-be-well,Tomasz Wiszniewski
v-for-vendetta,James McTeigue
serenity,Joss Whedon
quills,Philip Kaufman
the-naked-gun-from-the-files-of-police-squad,David Zucker
million-dollar-baby,Clint Eastwood
k-pax,Iain Softley
the-imaginarium-of-doctor-parnassus,Terry Gilliam
home-alone,Chris Columbus
home-alone-2-lost-in-new-york,Chris Columbus
finding-neverland,Marc Forster
die-hard-with-a-vengeance,John McTiernan
the-devil-wears-prada,David Frankel
the-count-of-monte-cristo-2002,Kevin Reynolds
cloverfield,Matt Reeves
cast-away,Robert Zemeckis
bruno,Larry Charles
300,Zack Snyder
the-worlds-fastest-indian,Roger Donaldson
escape-to-victory,John Huston
valkyrie,Bryan Singer
titanic-1997,James Cameron
sleuth-2007,Kenneth Branagh
shrek-2,"Andrew Adamson, Kelly Asbury"
lost-in-translation,Sofia Coppola
shark-tale,"Bibo Bergeron, Vicky Jenson"
religulous,Larry Charles
oliver-twist-2005,Roman Polanski
the-naked-gun-33-the-final-insult,Peter Segal
the-naked-gun-2-the-smell-of-fear,David Zucker
little-moscow,Waldemar Krzystek
the-life-of-david-gale,Alan Parker
lennon-naked,Edmund Coulthard
harry-potter-and-the-prisoner-of-azkaban,Alfonso Cuarón
harry-potter-and-the-philosophers-stone,Chris Columbus
harry-potter-and-the-goblet-of-fire,Mike Newell
harry-potter-and-the-chamber-of-secrets,Chris Columbus
wanted-2008,Timur Bekmambetov
tristan-isolde-2006,Kevin Reynolds
in-desert-and-wilderness-2001,Gavin Hood
sleepless-in-seattle,Nora Ephron
its-a-free-world,Ken Loach
final-destination,James Wong
armageddon,Michael Bay
eternal-sunshine-of-the-spotless-mind,Michel Gondry
pope-john-paul-ii,John Kent Harrison
karol-a-man-who-became-pope,Giacomo Battiato
karol-un-papa-rimasto-uomo,Giacomo Battiato
the-career-of-nikos-dyzma,Jacek Bromski
constantine,Francis Lawrence
eragon,Stefen Fangmeier
ali-g-indahouse,Mark Mylod
domino,Tony Scott
until-death,Simon Fellows
snatch,Guy Ritchie
the-butterfly-effect,"Eric Bress, J. Mackye Gruber"
the-counterfeiters,Stefan Ruzowitzky
inception,Christopher Nolan
lawrence-of-arabia,David Lean
aguirre-the-wrath-of-god,Werner Herzog
rear-window,Alfred Hitchcock
alien,Ridley Scott
goodbye-to-language,Jean-Luc Godard
knife-in-the-water,Roman Polanski
pather-panchali,Satyajit Ray
vivre-sa-vie,Jean-Luc Godard
the-apartment,Billy Wilder
city-lights,Charlie Chaplin
nashville,Robert Altman
au-hasard-balthazar,Robert Bresson
sunset-boulevard,Billy Wilder
walle,Andrew Stanton
the-passion-of-joan-of-arc,Carl Th. Dreyer
repulsion,Roman Polanski
two-days-one-night,"Jean-Pierre Dardenne, Luc Dardenne"
sansho-the-bailiff,Kenji Mizoguchi
blue-velvet,David Lynch
some-like-it-hot,Billy Wilder
late-spring,Yasujirō Ozu
wavelength-1967,Michael Snow
birdman,Alejandro González Iñárritu
sunrise-a-song-of-two-humans,F.W. Murnau
gone-girl,David Fincher
ugetsu,Kenji Mizoguchi
under-the-skin-2013,Jonathan Glazer
et-the-extra-terrestrial,Steven Spielberg
chicken-run,"Peter Lord, Nick Park"
the-room,Tommy Wiseau
touch-of-evil,Orson Welles
jeanne-dielman-23-quai-du-commerce-1080-bruxelles,Chantal Akerman
badlands,Terrence Malick
the-400-blows,François Truffaut
apocalypse-now,Francis Ford Coppola
the-shining,Stanley Kubrick
crimes-and-misdemeanors,Woody Allen
fifty-shades-of-grey,Sam Taylor-Johnson
the-idiots,Lars von Trier
the-perfect-human,Jørgen Leth
the-five-obstructions,"Lars von Trier, Jørgen Leth"
funny-games,Michael Haneke
inherent-vice,Paul Thomas Anderson
innocence,Lucile Hadzihalilovic
aparajito,Satyajit Ray
man-on-the-moon,Miloš Forman
my-neighbor-totoro,Hayao Miyazaki
cold-fish,Sion Sono
suicide-club,Sion Sono
norikos-dinner-table,Sion Sono
why-dont-you-play-in-hell,Sion Sono
strange-circus,Sion Sono
sympathy-for-mr-vengeance,Park Chan-wook
yi-yi,Edward Yang
blissfully-yours,Apichatpong Weerasethakul
mouchette,Robert Bresson
guilty-of-romance,Sion Sono
ran,Akira Kurosawa
zeitgeist,Peter Joseph
are-all-men-pedophiles,Jan-Willem Breure
an-autumn-afternoon,Yasujirō Ozu
russian-ark,Alexander Sokurov
grave-of-the-fireflies,Isao Takahata
man-with-a-movie-camera,Dziga Vertov
ghost-in-the-shell,Mamoru Oshii
blue-is-the-warmest-color,Abdellatif Kechiche
steins-gate-the-movie-load-region-of-deja-vu,Takuya Sato
good-will-hunting,Gus Van Sant
videodrome,David Cronenberg
raiders-of-the-lost-ark,Steven Spielberg
confessions,Tetsuya Nakashima
brazil,Terry Gilliam
fallen-angels,Wong Kar-wai
the-bad-lieutenant-port-of-call-new-orleans,Werner Herzog
memories-of-murder,Bong Joon-ho
2046,Wong Kar-wai
singin-in-the-rain,"Stanley Donen, Gene Kelly"
castaway-on-the-moon,Lee Hae-Jun
sympathy-for-lady-vengeance,Park Chan-wook
back-to-the-future,Robert Zemeckis
back-to-the-future-ii,Robert Zemeckis
toy-story,John Lasseter
back-to-the-future-iii,Robert Zemeckis
bonnie-and-clyde,Arthur Penn
high-and-low,Akira Kurosawa
the-empire-strikes-back,Irvin Kershner
daisies,Věra Chytilová
four-nights-of-a-dreamer,Robert Bresson
return-of-the-jedi,Richard Marquand
going-clear-scientology-and-the-prison-of-belief,Alex Gibney
its-such-a-beautiful-day,Don Hertzfeldt
airplane,"Jim Abrahams, David Zucker"
sans-soleil,Chris Marker
eraserhead,David Lynch
a-separation,Asghar Farhadi
certified-copy,Abbas Kiarostami
the-man-who-sleeps,"Bernard Queysanne, Georges Perec"
hero-2002,Zhang Yimou
lavventura,Michelangelo Antonioni
jaws,Steven Spielberg
the-story-of-the-last-chrysanthemum,Kenji Mizoguchi
a-man-escaped,Robert Bresson
pickpocket,Robert Bresson
ikiru,Akira Kurosawa
winter-light,Ingmar Bergman
tropical-malady,Apichatpong Weerasethakul
elephant-2003,Gus Van Sant
latalante,Jean Vigo
hochzeitspolka,Lars Jessen
boys-dont-cry-2000,Olaf Lubaszenko
timecrimes,Nacho Vigalondo
primer,Shane Carruth
children-of-men,Alfonso Cuarón
syndromes-and-a-century,Apichatpong Weerasethakul
the-human-condition-i-no-greater-love,Masaki Kobayashi
fireworks-1997,Takeshi Kitano
close-encounters-of-the-third-kind,Steven Spielberg
coherence,James Ward Byrkit
casino-royale-2006,Martin Campbell
the-end-of-the-tour,James Ponsoldt
skyfall,Sam Mendes
police-academy,Hugh Wilson
the-bourne-identity-2002,Doug Liman
the-bourne-supremacy,Paul Greengrass
the-bourne-ultimatum,Paul Greengrass
ex-machina-2014,Alex Garland
battle-royale,Kinji Fukasaku
inside-out-2015,Pete Docter
sex-lies-and-videotape,Steven Soderbergh
like-someone-in-love,Abbas Kiarostami
mistress-america,Noah Baumbach
after-hours,Martin Scorsese
paths-of-glory,Stanley Kubrick
the-purple-rose-of-cairo,Woody Allen
oasis,Lee Chang-dong
victoria-2015,Sebastian Schipper
le-trou,Jacques Becker
you-can-count-on-me,Kenneth Lonergan
the-red-shoes,"Michael Powell, Emeric Pressburger"
the-limey,Steven Soderbergh
the-element-of-crime,Lars von Trier
the-conversation,Francis Ford Coppola
magical-mystery-tour,
the-straight-story,David Lynch
the-exterminating-angel,Luis Buñuel
the-saragossa-manuscript,Wojciech Has
steve-jobs,Danny Boyle
the-lobster,Yorgos Lanthimos
spotlight,Tom McCarthy
the-revenant-2015,Alejandro González Iñárritu
mildred-pierce-2011,Todd Haynes
room-2015,Lenny Abrahamson
mad-max-fury-road,George Miller
the-martian,Ridley Scott
brooklyn,John Crowley
sicario-2015,Denis Villeneuve
queen-of-earth,Alex Ross Perry
the-duke-of-burgundy,Peter Strickland
tangerine,Sean Baker
taxi-2015,Jafar Panahi
phoenix-2014,Christian Petzold
timbuktu-2014,Abderrahmane Sissako
a-pigeon-sat-on-a-branch-reflecting-on-existence,Roy Andersson
mommy-2014,Xavier Dolan
beasts-of-no-nation,Cary Fukunaga
the-diary-of-a-teenage-girl,Marielle Heller
wild-tales,Damián Szifrón
love-mercy,Bill Pohlad
un-chien-andalou,Luis Buñuel
anomalisa,"Duke Johnson, Charlie Kaufman"
the-big-short,Adam McKay
window-water-baby-moving,Stan Brakhage
meshes-of-the-afternoon,"Maya Deren, Alexander Hammid"
the-garden-of-earthly-delights-1981,Stan Brakhage
la-jetee,Chris Marker
mothlight,Stan Brakhage
knight-of-cups,Terrence Malick
la-sapienza,Eugène Green
45-years,Andrew Haigh
chi-raq,Spike Lee
clouds-of-sils-maria,Olivier Assayas
inka,Monika Majorek
koyaanisqatsi,Godfrey Reggio
the-assassin-2015,Hou Hsiao-hsien
star-wars-the-force-awakens,J.J. Abrams
star-wars-episode-i-the-phantom-menace,George Lucas
the-end-of-evangelion,"Kazuya Tsurumaki, Hideaki Anno"
star-wars-episode-ii-attack-of-the-clones,George Lucas
star-wars-episode-iii-revenge-of-the-sith,George Lucas
bridge-of-spies,Steven Spielberg
talk-to-her,Pedro Almodóvar
a-moment-of-innocence,Mohsen Makhmalbaf
network,Sidney Lumet
come-and-see,Elem Klimov
the-perks-of-being-a-wallflower,Stephen Chbosky
me-and-earl-and-the-dying-girl,Alfonso Gomez-Rejon
into-the-wild,Sean Penn
dead-poets-society,Peter Weir
the-comedy,Rick Alverson
winged-migration,Jacques Perrin
himizu,Sion Sono
the-graduate,Mike Nichols
the-hourglass-sanatorium,Wojciech Has
le-samourai,Jean-Pierre Melville
zootopia,"Byron Howard, Rich Moore"
a-time-to-live-a-time-to-die,Hou Hsiao-hsien
woman-in-the-dunes,Hiroshi Teshigahara
decalogue-i,Krzysztof Kieślowski
decalogue-ii,Krzysztof Kieślowski
decalogue-iii,Krzysztof Kieślowski
decalogue-iv,Krzysztof Kieślowski
decalogue-v,Krzysztof Kieślowski
decalogue-vi,Krzysztof Kieślowski
decalogue-vii,Krzysztof Kieślowski
decalogue-viii,Krzysztof Kieślowski
decalogue-ix,Krzysztof Kieślowski
decalogue-x,Krzysztof Kieślowski
the-decalogue,Krzysztof Kieślowski
a-brighter-summer-day,Edward Yang
the-terrorizers,Edward Yang
blow-up,Michelangelo Antonioni
children-of-paradise,Marcel Carné
guardians-of-the-galaxy,James Gunn
the-bitter-tears-of-petra-von-kant,Rainer Werner Fassbinder
raise-the-red-lantern,Zhang Yimou
grizzly-man,Werner Herzog
werckmeister-harmonies,"Ágnes Hranitzky, Béla Tarr"
virgin-mountain,Dagur Kári
the-great-beauty,Paolo Sorrentino
the-consequences-of-love,Paolo Sorrentino
your-name,Makoto Shinkai
mind-game,Masaaki Yuasa
inside-llewyn-davis,"Joel Coen, Ethan Coen"
5-centimeters-per-second,Makoto Shinkai
the-girl-who-leapt-through-time,Mamoru Hosoda
happy-together-1997,Wong Kar-wai
once-upon-a-time-in-the-west,Sergio Leone
dirty-harry,Don Siegel
toni-erdmann,Maren Ade
aquarius,Kleber Mendonça Filho
the-handmaiden,Park Chan-wook
horace-and-pete,Louis C.K.
the-night-of,"Steven Zaillian, James Marsh"
elle,Paul Verhoeven
hell-or-high-water,David Mackenzie
nocturnal-animals,Tom Ford
carol-2015,Todd Haynes
right-now-wrong-then,Hong Sang-soo
all-that-heaven-allows,Douglas Sirk
05mm,Momoko Ando
alps,Yorgos Lanthimos
hidden-figures,Theodore Melfi
la-la-land,Damien Chazelle
an-american-haunting,Courtney Solomon
idiocracy,Mike Judge
get-out-2017,Jordan Peele
a-silent-voice,Naoko Yamada
jump-1965,Tadeusz Konwicki
kikis-delivery-service,Hayao Miyazaki
manchester-by-the-sea,Kenneth Lonergan
arrival-2016,Denis Villeneuve
up,Pete Docter
the-red-pill,Cassie Jaye
wings-of-desire,Wim Wenders
perfect-blue,Satoshi Kon
amarcord,Federico Fellini
wild-strawberries,Ingmar Bergman
